id,department,location,age
3,Operations,US,33
6,Sales,UK,50
8,IT,Brasil,54
9,Admin,UK,32
12,Operations,Brasil,51
19,Marketing,US,50
23,Sales,Brasil,39
26,Operations,France,32
27,Sales,France,58
29,Admin,France,33
30,Sales,Germany,54
32,Sales,UK,54
34,Marketing,Germany,46
36,Admin,US,39
41,IT,UK,56
42,Admin,US,33
44,Sales,Germany,54
47,Sales,Brasil,22
48,IT,France,34
50,Admin,US,33
51,Admin,UK,30
52,IT,UK,51
53,Operations,US,51
58,Sales,Germany,40
60,Engineering,Germany,38
62,Operations,France,34
63,Sales,France,38
67,IT,France,42
68,Admin,France,50
70,Operations,France,47
72,Marketing,France,55
73,Admin,US,56
74,Admin,France,45
79,Sales,France,33
84,Sales,US,29
88,IT,US,23
90,IT,US,33
94,Engineering,Germany,58
95,Operations,US,35
97,Operations,Germany,58
99,Engineering,UK,34
101,Engineering,Germany,34
103,Sales,Brasil,23
105,IT,US,52
109,Marketing,Brasil,32
121,Admin,France,43
124,Marketing,US,53
127,Engineering,UK,35
128,Sales,France,47
131,Admin,US,58
132,Sales,US,51
140,Sales,US,43
142,Admin,US,57
144,Sales,US,50
145,Marketing,Germany,47
154,IT,Germany,54
161,Sales,US,51
162,Sales,US,41
166,Engineering,France,38
172,Admin,US,41
173,Sales,Germany,55
174,Admin,France,29
175,IT,Germany,45
176,Sales,US,29
177,Operations,Brasil,39
180,Operations,US,35
181,Sales,Germany,39
183,Operations,US,50
184,Sales,France,45
185,IT,France,39
186,Engineering,France,57
189,Admin,US,57
191,Engineering,US,48
193,Sales,UK,45
194,Admin,US,28
195,IT,US,23
199,IT,US,55
202,Engineering,Brasil,34
204,Operations,France,50
209,Admin,US,41
211,Operations,US,30
212,Engineering,US,59
220,Admin,US,51
221,IT,Germany,54
222,Sales,UK,51
224,Sales,France,45
235,Marketing,US,24
236,Sales,US,58
237,Operations,France,41
238,Marketing,Germany,36
240,Engineering,France,59
241,Operations,US,42
242,Admin,US,27
244,Sales,US,52
247,IT,France,40
248,Engineering,UK,30
249,Admin,UK,54
250,Engineering,US,51
252,Operations,Germany,56
254,Sales,France,44
256,Marketing,France,48
259,Engineering,US,44
260,Operations,US,48
263,Operations,France,35
266,Engineering,US,36
267,Admin,Germany,47
272,Operations,US,47
277,Admin,US,22
278,Admin,Germany,24
280,Admin,US,38
281,Sales,France,35
283,Operations,France,40
285,Operations,France,45
286,Sales,UK,52
287,Engineering,UK,22
288,Marketing,Germany,35
289,Operations,Brasil,45
290,Admin,France,31
296,Engineering,US,41
297,Operations,US,22
298,Sales,Germany,37
299,Admin,Germany,47
300,Operations,France,34
302,Sales,France,41
303,IT,US,49
305,Operations,Brasil,54
306,Operations,France,46
307,Operations,US,22
308,Sales,Germany,39
309,Operations,US,38
311,Engineering,US,23
312,Sales,Germany,23
315,IT,US,36
316,Admin,France,27
317,Operations,US,37
319,Marketing,Germany,25
321,Admin,US,28
322,Sales,Brasil,50
323,Admin,US,57
324,Sales,US,40
325,Engineering,US,38
326,IT,France,48
328,Sales,US,54
329,IT,UK,39
332,Operations,US,40
333,IT,UK,47
335,Engineering,France,58
337,Sales,US,37
338,Operations,US,47
339,Engineering,Brasil,52
341,IT,France,25
342,Engineering,Brasil,50
343,Sales,France,36
344,Sales,US,35
345,Marketing,UK,29
346,Admin,US,43
349,Operations,Germany,24
350,Admin,France,57
351,IT,France,27
352,IT,France,42
353,Operations,Germany,24
357,Engineering,UK,24
359,Sales,US,35
361,Sales,US,42
362,Engineering,France,53
364,Sales,Germany,40
365,Sales,France,26
366,IT,UK,47
367,Operations,Brasil,45
368,Operations,Brasil,24
369,Engineering,US,56
370,Engineering,Germany,36
372,Operations,France,49
374,Sales,France,52
375,Admin,US,24
378,Admin,Brasil,39
386,Admin,Germany,47
387,Operations,US,29
388,Admin,France,49
389,Sales,France,39
391,IT,Germany,30
392,Engineering,US,38
393,Engineering,US,58
394,Admin,US,56
396,Marketing,US,52
398,Sales,Germany,50
399,Operations,Brasil,44
400,Sales,Germany,45
401,Operations,Germany,47
402,IT,Germany,54
403,Engineering,US,26
408,Admin,Germany,44
409,Engineering,US,29
413,Sales,US,52
416,Engineering,France,53
422,Sales,Brasil,43
423,Admin,France,31
424,Engineering,Germany,42
429,Engineering,Brasil,31
430,Operations,US,58
431,Operations,US,44
437,Marketing,US,49
440,IT,US,28
442,Operations,Brasil,57
448,Admin,UK,25
449,Marketing,France,58
453,Operations,UK,38
454,Admin,US,47
456,Sales,US,29
460,Sales,UK,26
462,Operations,Germany,53
463,Sales,France,30
467,Operations,US,28
468,Admin,US,35
469,Operations,France,54
474,Engineering,UK,37
475,Sales,France,28
477,Engineering,UK,53
479,Admin,US,44
481,Sales,US,55
482,Engineering,US,43
483,Sales,France,25
485,Sales,France,51
487,Marketing,US,33
488,Sales,US,57
493,Admin,France,49
494,Admin,US,39
495,Admin,France,28
496,Sales,France,22
498,Operations,UK,56
502,Sales,US,57
503,Sales,Brasil,44
504,Operations,France,22
507,Marketing,UK,47
509,Admin,US,39
511,Marketing,US,35
513,Engineering,France,57
514,Engineering,US,51
515,Sales,US,40
516,Engineering,US,41
517,Sales,US,54
518,Operations,US,45
519,Engineering,France,35
521,Operations,US,28
523,Admin,UK,32
525,Admin,France,27
527,Engineering,France,42
534,Admin,US,38
536,Sales,US,24
538,Admin,UK,53
540,Engineering,France,58
542,Sales,Germany,45
546,IT,France,35
547,Admin,France,45
548,Operations,US,34
549,Operations,Brasil,51
552,Admin,France,24
557,Admin,US,30
559,Operations,US,32
560,Admin,France,30
561,Engineering,UK,58
564,Engineering,Brasil,52
567,IT,US,58
568,Engineering,Germany,34
569,Operations,US,55
570,Engineering,France,43
571,Operations,US,44
573,Sales,UK,57
581,Admin,UK,52
582,Admin,US,34
583,IT,Germany,33
586,Operations,France,38
589,Engineering,US,42
590,Marketing,Germany,32
592,Operations,US,51
594,Engineering,US,51
595,Engineering,US,51
596,Operations,UK,45
598,Operations,US,38
603,IT,US,50
605,Admin,France,31
606,Sales,France,45
607,IT,US,43
609,Sales,US,27
612,Engineering,US,52
615,IT,US,58
616,Admin,France,46
617,Operations,US,52
619,Operations,France,47
620,IT,US,58
625,Sales,US,27
626,Admin,France,35
629,IT,US,38
632,Engineering,Brasil,33
635,Sales,France,26
638,Sales,Germany,40
639,Engineering,France,37
640,Admin,US,24
643,Admin,US,49
644,Sales,US,54
645,Admin,France,35
646,Admin,US,54
649,Sales,US,37
652,Sales,US,25
654,Operations,France,22
659,Marketing,US,39
666,IT,US,37
667,Operations,US,38
673,Sales,US,47
677,Marketing,UK,46
679,Operations,France,30
680,IT,France,24
681,Engineering,Brasil,45
685,Marketing,UK,52
687,Sales,US,36
688,IT,UK,30
697,Admin,US,43
698,IT,Germany,26
700,Operations,Brasil,47
701,Marketing,UK,35
704,Operations,US,30
705,Admin,US,59
706,Admin,US,45
707,Operations,France,36
708,Sales,Germany,32
710,IT,US,36
711,Sales,US,55
712,Operations,Brasil,54
713,Sales,US,41
715,Operations,France,38
719,Sales,US,42
725,Sales,Germany,30
726,IT,Brasil,54
727,IT,Germany,38
728,Operations,US,43
729,Sales,France,56
733,Operations,France,36
734,Sales,France,49
735,Marketing,US,52
738,Operations,UK,44
739,IT,UK,25
749,IT,US,55
752,Admin,France,57
753,Operations,UK,47
758,Operations,UK,31
762,Engineering,Brasil,34
765,Sales,Brasil,35
768,Operations,Germany,37
769,Admin,US,34
770,Admin,France,24
771,Engineering,France,40
773,Operations,Germany,38
774,Admin,US,50
776,IT,US,49
777,Sales,US,36
778,Admin,US,59
779,Engineering,France,47
781,Engineering,France,39
782,IT,Brasil,37
783,Admin,UK,53
784,Engineering,US,38
787,Marketing,Germany,49
788,Marketing,US,57
790,Admin,France,54
792,Sales,UK,46
793,Admin,US,34
794,IT,UK,25
795,Sales,UK,41
797,Admin,US,28
799,Operations,Brasil,25
803,Sales,US,52
804,Sales,US,48
805,Sales,Brasil,51
806,Sales,US,39
808,Operations,Germany,45
810,Sales,Brasil,55
815,Operations,US,36
816,Marketing,Brasil,57
817,Operations,France,57
821,Sales,Germany,41
823,Marketing,US,44
824,Marketing,France,32
825,IT,US,59
830,Sales,Germany,51
832,Sales,France,30
834,IT,France,29
835,Sales,France,47
840,Admin,US,36
844,Marketing,France,40
847,Marketing,France,39
851,Sales,Germany,43
856,Sales,US,52
859,Operations,US,34
869,Sales,France,38
870,Operations,US,28
872,Admin,US,31
873,Sales,US,48
878,Admin,UK,54
881,Sales,US,38
883,Admin,US,38
884,Admin,US,42
893,Sales,US,56
908,Admin,US,30
913,Sales,US,40
915,Engineering,US,30
919,Admin,US,54
921,Operations,France,36
927,Sales,Germany,38
928,Admin,US,51
934,Sales,France,23
939,IT,US,26
943,Admin,Germany,44
949,Sales,Germany,46
950,Operations,France,46
952,Admin,Germany,36
963,Sales,UK,50
966,Marketing,France,24
969,Operations,US,23
970,Sales,Brasil,54
974,Operations,US,37
975,Marketing,US,59
977,Marketing,US,37
978,Admin,France,28
980,Admin,US,49
981,Marketing,US,49
986,Engineering,US,43
990,Admin,Brasil,44
991,Engineering,Germany,37
992,Sales,US,33
993,Admin,US,54
996,Admin,US,35
1000,Admin,France,33
1004,Operations,Brasil,44
1005,Operations,France,38
1006,Sales,US,24
1009,IT,US,43
1011,Operations,US,36
1014,Engineering,Brasil,37
1017,Sales,UK,46
1018,Sales,Brasil,53
1021,Sales,US,58
1022,Sales,US,29
1023,Sales,France,54
1026,Operations,Brasil,37
1028,Admin,US,40
1029,Marketing,UK,40
1032,Operations,Germany,55
1033,IT,Germany,42
1039,Admin,UK,27
1041,Admin,Brasil,47
1042,Sales,France,59
1043,Marketing,France,34
1049,Engineering,US,38
1050,IT,US,39
1052,Sales,Brasil,46
1054,IT,US,33
1058,Operations,US,32
1059,Operations,US,25
1060,Admin,France,48
1065,Sales,France,46
1066,IT,France,50
1069,IT,Germany,24
1070,Engineering,UK,33
1071,Admin,UK,51
1072,Engineering,US,47
1079,Engineering,UK,58
1080,Admin,US,36
1081,Operations,Germany,43
1093,Engineering,US,25
1097,Operations,US,39
1103,Engineering,Germany,26
1104,Sales,Brasil,48
1107,Sales,US,27
1111,Operations,France,39
1113,Sales,US,59
1117,Marketing,US,48
1120,Admin,UK,35
1122,Operations,Germany,42
1124,Sales,Germany,51
1127,Sales,Germany,40
1132,Sales,Germany,38
1136,IT,US,56
1140,Engineering,Brasil,41
1142,Operations,US,36
1153,Operations,Germany,52
1158,Operations,US,50
1162,Sales,US,41
1167,Engineering,France,23
1168,Operations,US,26
1170,Sales,US,25
1171,Operations,Germany,27
1173,Engineering,UK,57
1176,Operations,Germany,32
1180,Sales,US,45
1181,Operations,US,35
1184,Operations,Germany,58
1185,IT,Germany,54
1189,Operations,France,24
1199,Engineering,US,26
1200,Marketing,US,25
1207,IT,Brasil,54
1216,Operations,US,47
1217,Operations,US,50
1224,Operations,Germany,38
1225,IT,US,56
1226,Engineering,France,33
1227,Operations,France,34
1231,Engineering,US,45
1244,Marketing,France,53
1246,Engineering,US,29
1252,Sales,US,38
1253,IT,US,46
1255,IT,France,47
1260,Admin,US,57
1261,Engineering,US,24
1262,Admin,France,29
1267,Admin,France,27
1269,Sales,US,45
1270,Engineering,France,51
1273,Marketing,Brasil,37
1274,Admin,US,27
1278,Sales,UK,59
1280,Marketing,France,47
1281,Sales,Germany,34
1282,Engineering,UK,35
1283,Admin,US,29
1285,Operations,France,54
1287,Engineering,UK,30
1290,IT,UK,29
1299,Marketing,US,32
1303,Engineering,UK,31
1305,Engineering,France,31
1308,Operations,US,26
1313,Engineering,US,40
1316,Sales,Germany,27
1317,Sales,US,51
1318,Marketing,UK,56
1320,Sales,France,46
1323,IT,UK,44
1328,Engineering,US,59
1336,IT,Germany,48
1339,Admin,US,58
1342,Admin,US,32
1346,Operations,Brasil,39
1354,Admin,Brasil,35
1356,IT,US,46
1358,Operations,US,45
1362,Sales,US,47
1364,Sales,Brasil,22
1365,Engineering,Germany,23
1368,Sales,France,23
1371,Operations,US,57
1377,Sales,US,58
1378,Operations,Germany,47
1379,Marketing,France,51
1381,Sales,France,22
1391,Engineering,Brasil,33
1393,Sales,US,39
1395,Sales,France,40
1402,Marketing,US,25
1403,Operations,US,46
1406,IT,US,58
1408,Marketing,US,41
1409,Admin,US,42
1413,Admin,France,51
1415,Admin,Germany,39
1417,Sales,Germany,48
1420,Operations,UK,22
1421,Sales,UK,35
1422,Operations,France,45
1424,Sales,France,26
1427,Marketing,UK,34
1431,Admin,US,39
1436,Operations,US,53
1438,Admin,Germany,36
1443,Admin,France,23
1445,Operations,Germany,50
1447,Engineering,Brasil,47
1449,Operations,Germany,23
1461,Engineering,US,35
1463,IT,US,36
1472,Admin,France,39
1474,Engineering,US,24
1487,Sales,France,31
1488,Admin,Brasil,45
1492,Operations,UK,56
1496,Sales,US,50
1500,Marketing,Germany,48
1508,Operations,US,39
1510,Sales,France,25
1513,IT,US,31
1517,Admin,Germany,58
1520,Admin,US,45
1527,Engineering,US,36
1534,Engineering,US,35
1536,Admin,US,31
1538,Operations,US,55
1539,IT,US,32
1540,Admin,France,57
1543,Operations,US,48
1556,Admin,France,52
1557,Operations,US,43
1561,Sales,US,36
1562,Engineering,US,32
1565,Marketing,US,38
1568,Marketing,UK,35
1569,Admin,US,38
1573,Admin,US,38
1576,IT,Germany,25
1580,Admin,Germany,58
1587,Operations,Germany,45
1596,IT,Brasil,28
1598,Engineering,France,44
1601,Sales,France,53
1603,Engineering,France,48
1605,Engineering,France,56
1607,Admin,Germany,53
1613,Admin,US,25
1616,Admin,Germany,22
1617,Operations,France,39
1624,Operations,France,27
1626,Engineering,France,36
1629,Sales,Brasil,35
1630,Sales,Brasil,27
1641,Sales,France,23
1642,IT,Brasil,33
1646,Admin,UK,30
1647,Admin,Germany,33
1648,Marketing,US,51
1657,Sales,Germany,26
1665,Operations,Brasil,23
1667,Sales,France,41
1669,Sales,France,54
1670,Admin,US,29
1673,Sales,US,40
1675,Sales,US,24
1676,Engineering,Germany,29
1688,IT,France,51
1698,Sales,Brasil,33
1709,Engineering,US,54
1713,IT,Germany,47
1716,Operations,France,46
1717,Admin,Germany,46
1724,Sales,France,45
1730,Admin,US,26
1731,Engineering,US,35
1750,Operations,US,48
1756,Admin,UK,35
1758,Sales,Brasil,43
1761,Operations,US,38
1780,Engineering,US,52
1781,Admin,Brasil,50
1783,IT,France,53
1792,Admin,Germany,26
1796,IT,US,38
1800,Admin,France,23
1801,Admin,Germany,26
1802,Admin,Germany,46
1807,Admin,UK,51
1830,Admin,UK,42
1839,Admin,France,28
1879,Engineering,US,40
1881,Sales,Germany,57
1890,Admin,US,39
