table,field name,code/format,label,note
Accident,accident_index,,,unique value for each accident. The accident_index combines the accident_year and accident_ref_no to form a unique ID. It can be used to join to Vehicle and Casualty
Accident,accident_year,,,
Accident,accident_reference,,,"In year id used by the police to reference a collision. It is not unique outside of the year, use accident_index for linking to other years"
Accident,longitude,,,Null if not known
Accident,Latitude,,,Null if not known
Accident,accident_severity,1,Fatal,
Accident,accident_severity,2,Serious,
Accident,accident_severity,3,Slight,
Accident,number_of_vehicles,,,
Accident,number_of_casualties,,,
Accident,date,(DD/MM/YYYY),,
Accident,day_of_week,1,Sunday,
Accident,day_of_week,2,Monday,
Accident,day_of_week,3,Tuesday,
Accident,day_of_week,4,Wednesday,
Accident,day_of_week,5,Thursday,
Accident,day_of_week,6,Friday,
Accident,day_of_week,7,Saturday,
Accident,time,(HH:MM),,Null if not known
Accident,first_road_class,1,Motorway,
Accident,first_road_class,2,A(M),
Accident,first_road_class,3,A,
Accident,first_road_class,4,B,
Accident,first_road_class,5,C,
Accident,first_road_class,6,Unclassified,
Accident,first_road_number,1 to 9999,Number range,
Accident,first_road_number,-1,Unknown,
Accident,first_road_number,0,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero ,
Accident,road_type,1,Roundabout,
Accident,road_type,2,One way street,
Accident,road_type,3,Dual carriageway,
Accident,road_type,6,Single carriageway,
Accident,road_type,7,Slip road,
Accident,road_type,9,Unknown,
Accident,road_type,12,One way street/Slip road,
Accident,road_type,-1,Data missing or out of range,
Accident,speed_limit,,,"20,30,40,50,60,70 are the only valid speed limits on public highways"
Accident,speed_limit,-1,Data missing or out of range,
Accident,speed_limit,99,unknown (self reported),
Accident,junction_detail,0,Not at junction or within 20 metres,
Accident,junction_detail,1,Roundabout,
Accident,junction_detail,2,Mini-roundabout,
Accident,junction_detail,3,T or staggered junction,
Accident,junction_detail,5,Slip road,
Accident,junction_detail,6,Crossroads,
Accident,junction_detail,7,More than 4 arms (not roundabout),
Accident,junction_detail,8,Private drive or entrance,
Accident,junction_detail,9,Other junction,
Accident,junction_detail,99,unknown (self reported),
Accident,junction_detail,-1,Data missing or out of range,
Accident,junction_control,0,Not at junction or within 20 metres,
Accident,junction_control,1,Authorised person,
Accident,junction_control,2,Auto traffic signal,
Accident,junction_control,3,Stop sign,
Accident,junction_control,4,Give way or uncontrolled,
Accident,junction_control,-1,Data missing or out of range,
Accident,junction_control,9,unknown (self reported),
Accident,second_road_class,0,Not at junction or within 20 metres,
Accident,second_road_class,1,Motorway,
Accident,second_road_class,2,A(M),
Accident,second_road_class,3,A,
Accident,second_road_class,4,B,
Accident,second_road_class,5,C,
Accident,second_road_class,6,Unclassified,
Accident,second_road_number,1 to 9999,Number range,
Accident,second_road_number,-1,Unknown,
Accident,second_road_number,0,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero ,
Accident,pedestrian_crossing_human_control,0,None within 50 metres ,
Accident,pedestrian_crossing_human_control,1,Control by school crossing patrol,
Accident,pedestrian_crossing_human_control,2,Control by other authorised person,
Accident,pedestrian_crossing_human_control,-1,Data missing or out of range,
Accident,pedestrian_crossing_human_control,9,unknown (self reported),
Accident,pedestrian_crossing_physical_facilities,0,No physical crossing facilities within 50 metres,
Accident,pedestrian_crossing_physical_facilities,1,Zebra,
Accident,pedestrian_crossing_physical_facilities,4,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",
Accident,pedestrian_crossing_physical_facilities,5,Pedestrian phase at traffic signal junction,
Accident,pedestrian_crossing_physical_facilities,7,Footbridge or subway,
Accident,pedestrian_crossing_physical_facilities,8,Central refuge,
Accident,pedestrian_crossing_physical_facilities,-1,Data missing or out of range,
Accident,pedestrian_crossing_physical_facilities,9,unknown (self reported),
Accident,light_conditions,1,Daylight,
Accident,light_conditions,4,Darkness - lights lit,
Accident,light_conditions,5,Darkness - lights unlit,
Accident,light_conditions,6,Darkness - no lighting,
Accident,light_conditions,7,Darkness - lighting unknown,
Accident,light_conditions,-1,Data missing or out of range,
Accident,weather_conditions,1,Fine no high winds,
Accident,weather_conditions,2,Raining no high winds,
Accident,weather_conditions,3,Snowing no high winds,
Accident,weather_conditions,4,Fine + high winds,
Accident,weather_conditions,5,Raining + high winds,
Accident,weather_conditions,6,Snowing + high winds,
Accident,weather_conditions,7,Fog or mist,
Accident,weather_conditions,8,Other,
Accident,weather_conditions,9,Unknown,
Accident,weather_conditions,-1,Data missing or out of range,
Accident,road_surface_conditions,1,Dry,
Accident,road_surface_conditions,2,Wet or damp,
Accident,road_surface_conditions,3,Snow,
Accident,road_surface_conditions,4,Frost or ice,
Accident,road_surface_conditions,5,Flood over 3cm. deep,
Accident,road_surface_conditions,6,Oil or diesel,
Accident,road_surface_conditions,7,Mud,
Accident,road_surface_conditions,-1,Data missing or out of range,
Accident,road_surface_conditions,9,unknown (self reported),
Accident,special_conditions_at_site,0,None,
Accident,special_conditions_at_site,1,Auto traffic signal - out,
Accident,special_conditions_at_site,2,Auto signal part defective,
Accident,special_conditions_at_site,3,Road sign or marking defective or obscured,
Accident,special_conditions_at_site,4,Roadworks,
Accident,special_conditions_at_site,5,Road surface defective,
Accident,special_conditions_at_site,6,Oil or diesel,
Accident,special_conditions_at_site,7,Mud,
Accident,special_conditions_at_site,-1,Data missing or out of range,
Accident,special_conditions_at_site,9,unknown (self reported),
Accident,carriageway_hazards,0,None,
Accident,carriageway_hazards,1,Vehicle load on road,
Accident,carriageway_hazards,2,Other object on road,
Accident,carriageway_hazards,3,Previous accident,
Accident,carriageway_hazards,4,Dog on road,
Accident,carriageway_hazards,5,Other animal on road,
Accident,carriageway_hazards,6,Pedestrian in carriageway - not injured,
Accident,carriageway_hazards,7,Any animal in carriageway (except ridden horse),
Accident,carriageway_hazards,-1,Data missing or out of range,
Accident,carriageway_hazards,9,unknown (self reported),
Accident,urban_or_rural_area,1,Urban,field introduced in 1994
Accident,urban_or_rural_area,2,Rural,field introduced in 1994
Accident,urban_or_rural_area,3,Unallocated,field introduced in 1994
Accident,urban_or_rural_area,-1,Data missing or out of range,field introduced in 1994