date,Mkt-RF,SMB,HML,RF,pf_returns
2016-01-04,-1.59,-0.83,0.53,0.0,-1.6517447399633725
2016-01-05,0.12,-0.22,0.01,0.0,0.40816072172050955
2016-01-06,-1.35,-0.12,0.0,0.0,0.3255554719235171
2016-01-07,-2.44,-0.29,0.08,0.0,-0.6982589673231918
2016-01-08,-1.11,-0.47,-0.03,0.0,-0.9593523455835962
2016-01-11,-0.06,-0.65,0.34,0.0,0.6047433828972054
2016-01-12,0.71,-0.4,-0.77,0.0,0.5860249443326742
2016-01-13,-2.67,-0.7,0.78,0.0,-2.9157515529329814
2016-01-14,1.65,-0.01,-0.41,0.0,0.7753928146975552
2016-01-15,-2.14,0.42,-0.21,0.0,-1.9058156353602358
2016-01-19,-0.2,-1.34,-0.07,0.0,0.6815879035323809
2016-01-20,-0.94,1.85,-1.24,0.0,-0.2880880576078971
2016-01-21,0.45,-0.49,0.01,0.0,-0.005624258429035148
2016-01-22,2.08,0.22,-0.19,0.0,2.0659307725821923
2016-01-25,-1.71,-0.37,-0.98,0.0,-0.5401360741143301
2016-01-26,1.52,0.38,1.22,0.0,0.7228865383801685
2016-01-27,-1.11,-0.54,1.72,0.0,-1.7361717529652516
2016-01-28,0.49,-0.47,1.26,0.0,2.0827257964318737
2016-01-29,2.57,0.46,0.37,0.0,1.6868966756194137
2016-02-01,-0.04,-0.21,-0.96,0.001,1.0343474701813506
2016-02-02,-2.0,-0.03,-0.34,0.001,-1.0687856284757442
2016-02-03,0.46,-0.32,0.44,0.001,-0.9238536769792728
2016-02-04,0.27,0.2,0.32,0.001,-1.4018700765043246
2016-02-05,-2.06,-1.1,1.75,0.001,-2.4773990150002647
2016-02-08,-1.51,-0.02,0.9,0.001,-2.1176144504867973
2016-02-09,-0.1,-0.47,-0.29,0.001,0.35725649695981776
2016-02-10,0.01,-0.05,-0.56,0.001,0.4240873948879505
2016-02-11,-1.17,0.5,-1.47,0.001,-0.14705249561673078
2016-02-12,1.98,-0.54,1.14,0.001,1.5418267597967514
2016-02-16,1.78,0.55,-0.56,0.001,1.2715243686625224
2016-02-17,1.75,-0.05,-0.63,0.001,1.463904429059243
2016-02-18,-0.51,0.0,0.21,0.001,-0.6512945364494467
2016-02-19,0.06,0.43,-0.62,0.001,0.23473611128149344
2016-02-22,1.43,-0.27,0.24,0.001,1.5230660195978671
2016-02-23,-1.22,0.47,-0.52,0.001,-0.38048440091295144
2016-02-24,0.53,0.68,-0.32,0.001,0.8688766022874853
2016-02-25,1.1,-0.43,0.23,0.001,1.46901320670356
2016-02-26,-0.01,0.82,0.26,0.001,-0.5218079341482103
2016-02-29,-0.69,0.66,0.26,0.001,-0.8612103877247408
2016-03-01,2.34,-0.64,0.3,0.001,2.229444120257085
2016-03-02,0.54,0.5,0.71,0.001,-0.1261006042228041
2016-03-03,0.51,0.44,0.64,0.001,0.3005752727288489
2016-03-04,0.37,0.27,0.28,0.001,0.13728416083561365
2016-03-07,0.21,1.21,0.54,0.001,-0.9229925919669847
2016-03-08,-1.27,-1.14,-0.49,0.001,-0.5628167150540089
2016-03-09,0.5,0.04,0.38,0.001,0.34609610841614413
2016-03-10,-0.11,-0.81,0.63,0.001,0.43632373959444154
2016-03-11,1.69,0.27,0.19,0.001,2.136234391842267
2016-03-14,-0.12,-0.07,-0.87,0.001,-0.2720043758701541
2016-03-15,-0.36,-1.43,0.67,0.001,-0.1398979156158964
2016-03-16,0.63,0.1,-0.04,0.001,1.0866728755784774
2016-03-17,0.72,0.84,0.58,0.001,-0.06834881666774999
2016-03-18,0.54,0.34,-0.19,0.001,0.43475980003384146
2016-03-21,0.1,-0.2,-0.31,0.001,0.16914609915326823
2016-03-22,-0.05,-0.01,-0.45,0.001,0.2319458277116259
2016-03-23,-0.86,-1.17,-0.09,0.001,0.05384191352136868
2016-03-24,0.0,0.47,-0.06,0.001,-0.36387906212522997
2016-03-28,0.04,-0.03,0.14,0.001,0.2087056789528053
2016-03-29,1.07,1.77,-1.18,0.001,0.9075372258737269
2016-03-30,0.41,-0.29,0.14,0.001,0.025138937160511875
2016-03-31,-0.11,0.44,-0.48,0.001,-0.424867184023627
2016-04-01,0.64,-0.25,-0.62,0.0,1.41899897145042
2016-04-04,-0.41,-0.25,-0.74,0.0,-0.7219810891337951
2016-04-05,-0.94,-0.08,-0.36,0.0,-0.36005210379348146
2016-04-06,1.14,0.17,-0.82,0.0,1.2394077430995936
2016-04-07,-1.23,-0.05,-0.35,0.0,-0.6089883197018344
2016-04-08,0.29,0.02,0.68,0.0,-0.04026370821268091
2016-04-11,-0.28,-0.1,0.95,0.0,-0.8643344582329627
2016-04-12,0.99,-0.06,0.85,0.0,0.7486019094394122
2016-04-13,1.23,0.84,0.35,0.0,-0.09611790667916356
2016-04-14,0.03,-0.28,0.18,0.0,-0.2079695364773274
2016-04-15,-0.04,0.33,-0.32,0.0,0.06550257667661606
2016-04-18,0.65,0.09,-0.19,0.0,0.4924124453425672
2016-04-19,0.29,-0.36,1.48,0.0,-0.7260017998325812
2016-04-20,0.15,-0.1,0.54,0.0,-0.4417057815676805
2016-04-21,-0.47,0.11,-0.59,0.0,-0.441697666661771
2016-04-22,0.12,0.82,0.49,0.0,-0.22410145684913393
2016-04-25,-0.24,-0.58,-0.17,0.0,0.6855622922022141
2016-04-26,0.29,0.65,0.78,0.0,0.23961230337789188
2016-04-27,0.21,0.09,0.68,0.0,-0.048829367428150194
2016-04-28,-0.96,-0.15,0.05,0.0,0.3204852418838664
2016-04-29,-0.5,-0.14,0.38,0.0,0.27476082114229816
2016-05-02,0.78,-0.01,-0.36,0.001,1.0610314702897385
2016-05-03,-1.05,-0.66,-0.49,0.001,-0.4400069355756968
2016-05-04,-0.66,-0.15,0.06,0.001,-0.04879684810171248
2016-05-05,-0.08,-0.5,0.09,0.001,-0.34819037911975886
2016-05-06,0.38,0.05,0.24,0.001,0.6786620648171353
2016-05-09,0.05,0.36,-1.48,0.001,0.4128181737097757
2016-05-10,1.26,-0.4,0.47,0.001,1.074781095785123
2016-05-11,-0.89,-0.36,0.78,0.001,-1.3132546776027556
2016-05-12,-0.11,-0.6,0.15,0.001,-0.06548123463042127
2016-05-13,-0.82,0.38,-0.66,0.001,-0.477478453066566
2016-05-16,0.99,0.28,-0.24,0.001,0.34216227301486557
2016-05-17,-0.95,-0.78,0.61,0.001,-1.3367291081979675
2016-05-18,0.1,0.11,0.83,0.001,0.8237968440921868
2016-05-19,-0.33,-0.32,-0.29,0.001,-0.10112990461524342
2016-05-20,0.75,0.9,-0.3,0.001,0.34039799634161666
2016-05-23,-0.18,0.26,-0.32,0.001,-0.5229263011285481
2016-05-24,1.43,0.68,-0.34,0.001,1.3683793562937656
2016-05-25,0.72,-0.21,0.57,0.001,0.4250194371590883
2016-05-26,-0.04,-0.09,-0.51,0.001,0.11699018590873997
2016-05-27,0.49,0.33,-0.22,0.001,0.7830996914089992
2016-05-31,-0.01,0.5,-0.36,0.001,-0.5670987803600331
2016-06-01,0.2,0.65,-0.25,0.001,0.661228434216836
2016-06-02,0.35,0.31,-0.59,0.001,0.2539897839979653
2016-06-03,-0.38,-0.14,-0.11,0.001,-0.39235464570624756
2016-06-06,0.6,0.68,0.32,0.001,-0.07636059480997291
2016-06-07,0.12,0.19,0.11,0.001,-0.2604611656799495
2016-06-08,0.37,0.45,-0.11,0.001,0.1687076799347461
2016-06-09,-0.27,-0.4,-0.22,0.001,0.30210377200611377
2016-06-10,-1.05,-0.34,-0.18,0.001,-0.7750680490103925
2016-06-13,-0.84,-0.36,0.1,0.001,-0.7723703024000139
2016-06-14,-0.19,0.27,-0.71,0.001,0.27940674127259524
2016-06-15,-0.11,0.25,-0.05,0.001,-0.02581903234026496
2016-06-16,0.24,-0.34,-0.4,0.001,0.239704027800701
2016-06-17,-0.3,-0.1,0.94,0.001,-0.6424676213364285
2016-06-20,0.71,0.61,-0.01,0.001,0.4552400763026516
2016-06-21,0.21,-0.62,0.5,0.001,0.07491980369490651
2016-06-22,-0.2,-0.31,0.08,0.001,-0.06919082120593843
2016-06-23,1.45,0.5,0.43,0.001,0.7660005003410774
2016-06-24,-3.7,0.15,-1.14,0.001,-1.4100135298138678
2016-06-27,-2.07,-0.95,-0.67,0.001,-0.6167673284457182
2016-06-28,1.76,-0.39,0.14,0.001,1.47042163030539
2016-06-29,1.8,0.27,-0.07,0.001,1.325259417374773
2016-06-30,1.42,0.35,0.45,0.001,0.9515376331342891
2016-07-01,0.24,0.53,-0.41,0.001,0.2666632633285734
2016-07-05,-0.85,-0.62,-1.36,0.001,0.3908549167109375
2016-07-06,0.62,0.17,-0.12,0.001,0.23554581301484273
2016-07-07,0.02,0.35,-0.2,0.001,-0.3512928174814033
2016-07-08,1.6,0.89,0.35,0.001,1.7595378671062623
2016-07-11,0.43,0.6,0.25,0.001,0.04931966819185898
2016-07-12,0.75,0.62,1.0,0.001,-0.4202041910238763
2016-07-13,-0.05,-0.52,0.51,0.001,0.07787788206742646
2016-07-14,0.51,-0.46,0.45,0.001,0.628635556102553
2016-07-15,-0.05,0.3,0.01,0.001,-0.35140932906547284
2016-07-18,0.25,-0.02,-0.12,0.001,0.2883192131297055
2016-07-19,-0.22,-0.62,0.05,0.001,-0.5453388981326361
2016-07-20,0.48,0.45,-0.87,0.001,0.4366457305769224
2016-07-21,-0.38,-0.05,-0.01,0.001,-0.08955251331818784
2016-07-22,0.48,0.23,-0.08,0.001,0.5729583457218066
2016-07-25,-0.27,-0.02,-0.24,0.001,0.015908910188633003
2016-07-26,0.13,0.58,0.54,0.001,-0.14273801553299997
2016-07-27,-0.14,0.58,-0.42,0.001,-0.37533923890592913
2016-07-28,0.18,-0.41,-0.34,0.001,0.5956962706738569
2016-07-29,0.17,-0.02,0.04,0.001,0.006896940156198222
2016-08-01,-0.16,0.18,-0.87,0.001,-0.044224637753569634
2016-08-02,-0.7,-0.59,0.16,0.001,-0.7346649208208356
2016-08-03,0.45,0.46,0.83,0.001,0.6155326122182416
2016-08-04,0.05,0.08,-0.33,0.001,0.3776837442442142
2016-08-05,0.93,0.44,0.87,0.001,0.477393417690383
2016-08-08,-0.06,0.02,0.57,0.001,-0.42940250764933274
2016-08-09,0.05,-0.02,-0.31,0.001,0.8491411060164684
2016-08-10,-0.29,-0.44,-0.12,0.001,0.2230096469275958
2016-08-11,0.54,0.15,0.04,0.001,1.03785616140348
2016-08-12,-0.06,0.08,-0.18,0.001,0.20582198346963798
2016-08-15,0.39,0.73,0.39,0.001,0.1667653849043749
2016-08-16,-0.57,-0.27,0.61,0.001,-0.666741980850063
2016-08-17,0.12,-0.55,0.25,0.001,0.0053058208596841
2016-08-18,0.32,0.45,0.37,0.001,0.15184443365974426
2016-08-19,-0.11,0.12,-0.12,0.001,-0.4183588387645923
2016-08-22,-0.02,0.25,-0.41,0.001,-0.05846758515823173
2016-08-23,0.27,0.56,-0.01,0.001,0.3150438837323259
2016-08-24,-0.56,-0.47,0.4,0.001,-0.7662674594823358
2016-08-25,-0.08,0.19,0.48,0.001,0.05397476580827984
2016-08-26,-0.15,0.15,-0.13,0.001,-0.8138356540081495
2016-08-29,0.53,-0.07,0.35,0.001,0.45217350628201125
2016-08-30,-0.14,0.1,0.31,0.001,-0.4542027668437241
2016-08-31,-0.24,-0.39,0.13,0.001,0.02727112757047074
2016-09-01,0.03,0.12,-0.49,0.001,0.5210367603512749
2016-09-02,0.53,0.39,0.36,0.001,0.7369469875275111
2016-09-06,0.26,0.06,-0.53,0.001,0.3984614697808488
2016-09-07,0.09,0.61,0.03,0.001,0.07306555848450169
2016-09-08,-0.18,-0.03,0.57,0.001,-0.8267432305027691
2016-09-09,-2.47,-0.56,0.31,0.001,-2.5693921620526297
2016-09-12,1.44,0.0,-0.46,0.001,1.5915812579758906
2016-09-13,-1.48,-0.25,-0.48,0.001,-1.511059133586298
2016-09-14,-0.08,0.11,-0.83,0.001,0.059252941099345244
2016-09-15,1.07,0.3,-0.33,0.001,0.5296324748690885
2016-09-16,-0.36,0.32,-0.46,0.001,-0.08025089512880645
2016-09-19,0.05,0.4,0.17,0.001,0.17105186289212154
2016-09-20,-0.02,-0.21,-0.51,0.001,-0.15697065995123682
2016-09-21,1.12,0.14,0.33,0.001,1.3228414819381538
2016-09-22,0.7,0.85,-0.06,0.001,0.683722745898847
2016-09-23,-0.6,-0.1,-0.19,0.001,-0.5177613915065965
2016-09-26,-0.88,-0.23,-0.35,0.001,-0.253432763396511
2016-09-27,0.64,-0.07,-0.53,0.001,1.1261388860033401
2016-09-28,0.56,0.22,1.1,0.001,-0.20181714057852596
2016-09-29,-0.98,-0.41,0.54,0.001,-1.2033115276527035
2016-09-30,0.88,0.37,0.35,0.001,0.36506543313752693
2016-10-03,-0.26,-0.03,-0.13,0.001,-0.06516385940269867
2016-10-04,-0.46,0.04,0.09,0.001,-0.4889890951124749
2016-10-05,0.58,0.28,0.79,0.001,0.21459494360190765
2016-10-06,-0.06,-0.27,0.37,0.001,0.35656202218059485
2016-10-07,-0.38,-0.51,0.16,0.001,-0.9584228482554785
2016-10-10,0.52,0.57,0.01,0.001,0.7162103972399833
2016-10-11,-1.3,-0.6,0.48,0.001,-1.3044230133666843
2016-10-12,0.06,-0.23,0.37,0.001,-0.05208163812035965
2016-10-13,-0.42,-0.68,-0.63,0.001,1.0735646742113714
2016-10-14,0.01,-0.36,0.57,0.001,0.03830919636055469
2016-10-17,-0.29,-0.05,0.14,0.001,-0.702792545087236
2016-10-18,0.6,-0.17,0.03,0.001,1.2301254274195559
2016-10-19,0.25,0.04,0.91,0.001,0.09114031573631393
2016-10-20,-0.16,-0.03,-0.11,0.001,-0.2686299065164607
2016-10-21,0.02,-0.13,-0.32,0.001,1.0327482133565007
2016-10-24,0.54,0.06,-0.16,0.001,0.7043099389913605
2016-10-25,-0.46,-0.58,0.22,0.001,-0.6877161323765468
2016-10-26,-0.23,-0.84,0.75,0.001,-0.9484853039746485
2016-10-27,-0.33,-0.96,0.6,0.001,-1.5713683485693732
2016-10-28,-0.29,-0.1,0.11,0.001,1.4406637957387374
2016-10-31,0.02,0.03,0.13,0.001,0.45733722379246083
2016-11-01,-0.68,-0.36,0.17,0.001,-0.9436177985646079
2016-11-02,-0.73,-0.66,0.36,0.001,-0.07609932057793865
2016-11-03,-0.4,-0.46,1.02,0.001,-1.3519533132398598
2016-11-04,-0.12,0.86,-0.42,0.001,-0.1029940658423243
2016-11-07,2.23,0.21,-0.15,0.001,2.2526608505731747
2016-11-08,0.4,-0.07,-0.19,0.001,0.8975339328896991
2016-11-09,1.46,1.82,0.99,0.001,-0.2002234450485103
2016-11-10,0.32,1.14,1.81,0.001,-0.7576151462245335
2016-11-11,0.18,2.5,-0.04,0.001,-0.17214954969336554
2016-11-14,0.21,0.58,1.42,0.001,-0.45662064883456355
2016-11-15,0.8,-0.55,0.14,0.001,0.9555814617525357
2016-11-16,-0.12,0.3,-0.56,0.001,0.39652219982293113
2016-11-17,0.56,0.13,-0.13,0.001,0.5305483606050818
2016-11-18,-0.16,0.56,0.39,0.001,-0.5160595089607973
2016-11-21,0.77,-0.26,0.08,0.001,0.5536506015154179
2016-11-22,0.31,0.54,0.58,0.001,0.9876323790855608
2016-11-23,0.16,0.52,0.19,0.001,0.1575472993438715
2016-11-25,0.4,-0.08,-0.24,0.001,0.3784864706594948
2016-11-28,-0.64,-0.77,0.06,0.001,-0.6429983653863397
2016-11-29,0.11,-0.36,-0.07,0.001,0.45906399356677485
2016-11-30,-0.25,-0.39,2.25,0.001,-1.284819841577473
2016-12-01,-0.36,-0.66,2.06,0.001,-1.188168922026935
2016-12-02,0.0,0.05,-0.32,0.001,3.8986886624767387
2016-12-05,0.75,1.09,0.28,0.001,0.41870127091852116
2016-12-06,0.48,0.63,0.23,0.001,0.3299140185747787
2016-12-07,1.26,-0.63,0.53,0.001,1.1899995790101672
2016-12-08,0.36,1.15,0.58,0.001,-0.18259306279165965
2016-12-09,0.46,-0.28,0.12,0.001,0.2930336659620527
2016-12-12,-0.3,-0.94,-0.11,0.001,0.027428436540892557
2016-12-13,0.6,-0.51,-0.29,0.001,0.801328725826545
2016-12-14,-0.82,-0.36,-0.29,0.001,-0.4032595616228986
2016-12-15,0.46,0.37,0.28,0.001,0.6091261868180416
2016-12-16,-0.22,0.05,-0.42,0.001,0.22138965177257786
2016-12-19,0.22,0.31,0.08,0.001,-0.13686506638925106
2016-12-20,0.44,0.42,0.68,0.001,-0.24703364013824322
2016-12-21,-0.24,-0.38,0.24,0.001,-0.020228012216620045
2016-12-22,-0.3,-0.75,0.24,0.001,-0.5002131006992273
2016-12-23,0.19,0.56,-0.52,0.001,0.4381525752292687
2016-12-27,0.27,0.21,0.13,0.001,0.4304114357023392
2016-12-28,-0.87,-0.27,0.08,0.001,-0.9035247790133049
2016-12-29,-0.04,0.13,-0.31,0.001,0.23595426397257274
2016-12-30,-0.52,-0.11,0.2,0.001,-0.8055509675397557
